smiles,name
n1c[nH]c2c(c1=S)[nH]cn2,115
[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)N(N=O)C)O,116
C1C/C(=C/[C@@H]2[C@@H](CC/C(=C/1)/C)C(=C)C(=O)O2)/C,117
C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@]2([C@H](C[C@]2([C@H]1C[C@H]([C@@]2(C(=O)CO)O)C)C)O)F)C,118
c12cc(c(cc1c(nc(n2)N1CCN(CC1)C(=O)C1COc2c(O1)cccc2)N)OC)OC.S(=O)(=O)(O)C,119
c1cc2c(c(c1)CC)[nH]c1c2CCO[C@@]1(CC(=O)O)CC,120
n1(c(cnc1)C(=O)OCC)C(C)c1ccccc1,121
c1(ccc(cc1F)F)C(Cn1ncnc1)(Cn1ncnc1)O,122
c1c(cc2c(c1)n1c(CN(C2=O)C)c(nc1)C(=O)OCC)F,123
c1(ccc(cc1)OC(CCNC)c1ccccc1)C(F)(F)F.Cl,124
c1(ccc(cc1)CNc1nc(c(cc1)NC(=O)OCC)N)F.OC(=O)/C=C/C(=O)O,125
c1(c(cc2c(c1OC)n(cc(c2=O)C(=O)O)C1CC1)F)N1CCNC(C1)C,126
c1(cc2c(c(c1)O)c(=O)c(co2)c1ccc(cc1)O)O,127
c1c(ccc(c1)S(=O)(=O)NC(=O)N[C@@H]1CC[C@H](CC1)C)CCNC(=O)N1CC(=C(C1=O)CC)C,128
c1ccc2c(c1)nc([nH]2)S(=O)Cc1nccc(c1C)OCC(F)(F)F,129
C1(=O)N(CCC1)[C@H](C(=O)N)CC,130
C1CN(CCC1=C1c2c(CCc3c1ccc(c3)Cl)cccn2)C(=O)OCC,131
c1(c(cc(cc1OC)OC)OC)/C=C/S(=O)(=O)Cc1ccc(c(c1)NCC(=O)[O-])OC.[Na+],132
c12cc(cc3c1c(ccc2)c(=O)n(c3=O)CCN(C)C)N,133
c1c(c(c(c(c1C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,134
C1C(=O)C=C2[C@H](C1)[C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@](C=C2)(O)C#C)CC,135
C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H]([C@@H]3[C@H]2C3)[C@H]2[C@](CC1)([C@]1([C@@H]3[C@H]2C3)OC(=O)CC1)C)C,136
c1ccc(c(c1C)OCC(=O)N[C@@H](Cc1ccccc1)[C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C)O)C,137
N12C(C(C1=O)C(C)O)C(C(=C2C(=O)O)SC1CC(NC1)C(=O)N(C)C)C,138
c12N3C(c4c(Cc1cccc2)cccc4)CN(CC3)C.Cl,139
c1(c(cc(c(c1)C(=O)NCC1OCCN(C1)Cc1ccc(cc1)F)OCC)N)Cl.OC(=O)CC(CC(=O)O)(C(=O)O)O,140
c1(ccc(cc1)NC(=N)N)C(=O)Oc1cc2c(cc1)cc(cc2)C(=N)N.S(=O)(=O)(O)C.S(=O)(=O)(O)C,141
c1(c2c(ccc1)cccc2)OCC(CN1CCN(CC1)c1ccccc1OC)O.Cl.Cl,142
c1c(cc2c(c1)[nH]c(n2)S(=O)Cc1c(c(c(cn1)C)OC)C)OC,143
c1ccc2c(c1)c1c(n2C)CCC(C1=O)Cn1c(ncc1)C.Cl,144
C1(=C2CCN(CC2)C)c2c(CCc3c1cccc3)scc2.C(=O)(O)C(CC(=O)O)O,145
c1(ccc(cc1)/C=C/c1cc(cc(c1)O)O)O,146
[C@H]1([C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H]([C@H](C2)[N+]1(CCCC1)CC=C)OC(=O)C)C)C)O)N1CCOCC1.[Br-],147
n1cnc2c(c1N)ncn2C[C@H](OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C)C.C(=C\\C(=O)O)/C(=O)O,148
n1cnc2c(c1N)ncn2C[C@H](OCP(=O)(O)O)C,149
c1(cc(c(c2c1C[C@@H]1C(=C([C@]3([C@@H](C1)[C@@H](C(=C(C3=O)C(=O)N)O)N(C)C)O)O)C2=O)O)NC(=O)CNC(C)(C)C)N(C)C,150
C1(=C([C@@H]2[C@]3([C@](C1)([C@@H]1[C@@H](CC3)[C@H]3[C@](CC1)([C@H](CC3)O)C)C)O2)O)C#N,151
C1CCN(CC1)[C@@H]1[C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H]([C@H](C2)[N+]1(CCCCC1)C)OC(=O)C)C)C)OC(=O)C.[Br-],152
c1ccc(cc1)CCC(O)/C=C/[C@@H]1[C@H]([C@H](C[C@@H]1O)O)C/C=C\\CCCC(=O)NCC,153
c1c(c(cc(c1)N1C[C@@H](OC1=O)CNC(=O)C)F)N1CCOCC1,154
c1(c(cc2c(c1)c(nc(n2)N(CCCNC(=O)C1CCCO1)C)N)OC)OC.Cl,155
c1cccc(c1Cl)[C@H](N1CCc2c(C1)ccs2)C(=O)OC.OS(=O)(=O)O,156
NCC(=O)CCC(=O)O.Cl,157
c1c(c(c(cc1)C)NC(=O)CN1CCN(CC1)CC(O)COc1ccccc1OC)C.Cl.Cl,158
c1(c(ccc(c1)CC(=O)N[C@H](c1ccccc1N1CCCCC1)CC(C)C)C(=O)O)OCC,159
c1(c(ccc(c1)C1CNC(=O)C1)OC)OC1CCCC1,160
c1(ccc(c(c1)c1nc2c(c(=O)[nH]1)n(nc2CCC)C)OCC)S(=O)(=O)N1CCN(CC1)C.C(C(=O)O)C(CC(=O)O)(O)C(=O)O,161
c1(ccc2c(c1)c(c[nH]2)CCN(C)C)CS(=O)(=O)NC.OC(=O)CCC(=O)O,162
c12c(C(c3c(S(=O)(=O)N1C)cc(cc3)Cl)NCCCCCCC(=O)[O-])cccc2.[Na+],163
[C@H]12[C@H]([C@H]3[C@](OC1)(COS(=O)(=O)N)OC(O3)(C)C)OC(O2)(C)C,164
c1(c(ccc(c1)/C=C/C(=O)Nc1ccccc1C(=O)O)OC)OC,165
C1CCCCC1(C(CN(C)C)c1ccc(cc1)OC)O.Cl,166
c1c(c(cc(c1)F)F)[C@@](Cn1cncn1)([C@H](c1ncncc1F)C)O,167
c1ccc2c(c1)sc(c2)C(N(O)C(=O)N)C,168
c1cccc2c1c(ns2)N1CCN(CC1)CCc1c(cc2c(c1)CC(=O)N2)Cl.Cl,169
c12ccccc1onc2CS(=O)(=O)N,170
c1cc(ccc1[C@](c1cncn1C)(c1cc2c(cc1)n(c(=O)cc2c1cc(ccc1)Cl)C)N)Cl,171
c12c(c(nc(c1O)C(=O)NCC(=O)O)C)cc(cc2)Oc1ccccc1,172
[C@@H]1(C[C@@H](C(=C)/C(=C\\C=C/2\\[C@H]3[C@](CCC2)([C@H](CC3)[C@@H](CCCC(C)(C)O)C)C)/C1)O)O,173
C1[C@@H](C(=C)/C(=C/C=C/2\\CCC[C@]3([C@H]2CC[C@@H]3[C@@H](/C=C/[C@H](C(C)C)C)C)C)/C[C@H]1O)O,174
C1[C@H](C[C@@H](C(=C)/C/1=C/C=C/1\\[C@H]2[C@](CCC1)([C@H](CC2)[C@@H](CCCC(C)C)C)C)O)O,175
c1(c(c(c2c(c1)c(=O)c(cn2C1CC1)C(=O)O)OC)N1C[C@@H]2[C@H](C1)CCCN2)F.Cl,176
c1(cccc(c1)COc1ccc(cc1)CN[C@H](C(=O)N)C)F.CS(=O)(=O)O,177
c1cc(ccc1c1cnc([nH]1)[C@H]1N(CCC1)C(=O)[C@H](C(C)C)NC(=O)OC)c1ccc(cc1)c1cnc([nH]1)[C@H]1N(CCC1)C(=O)[C@H](C(C)C)NC(=O)OC,178
c1(c(ccc(c1)C(=O)C)OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)OC,179
c1cccc(c1N(S(=O)(=O)c1ccc(cc1)OC)C(=O)C)/C=C/c1cc[n+](cc1)[O-],180
c1(ccc2c(c1)c(c[nH]2)C1CCN(CC1)C)CCS(=O)(=O)NC.Cl,181
c1cnn2c(c1)ncc2C#Cc1c(ccc(c1)C(=O)Nc1cc(c(cc1)CN1CCN(CC1)C)C(F)(F)F)C,182
